Code,Name
AUS,Australia
AUT,Austria
BEL,Belgium
BGR,Bulgaria
BLR,Belarus
CAN,Canada
CHE,Switzerland
CYP,Cyprus
CZE,Czechia
DEU,Germany
DNK,Denmark
ESP,Spain
EST,Estonia
EUU,European Union
FIN,Finland
FRA,France
GBR,United Kingdom
GRC,Greece
HRV,Croatia
HUN,Hungary
IRL,Ireland
ISL,Iceland
ITA,Italy
JPN,Japan
KAZ,Kazakhstan
LIE,Liechtenstein
LTU,Lithuania
LUX,Luxembourg
LVA,Latvia
MCO,Monaco
MLT,Malta
NLD,Netherlands
NOR,Norway
NZL,New Zealand
POL,Poland
PRT,Portugal
ROU,Romania
RUS,Russia
SVK,Slovakia
SVN,Slovenia
SWE,Sweden
TUR,Turkey
UKR,Ukraine
USA,United States
