Code,Name,Region
CPV,Cabo Verde,"Atlantic, Indian Ocean, Mediterranean and South China Sea (AIMS)"
COM,Comoros,"Atlantic, Indian Ocean, Mediterranean and South China Sea (AIMS)"
GNB,Guinea-Bissau,"Atlantic, Indian Ocean, Mediterranean and South China Sea (AIMS)"
MDV,Maldives,"Atlantic, Indian Ocean, Mediterranean and South China Sea (AIMS)"
MUS,Mauritius,"Atlantic, Indian Ocean, Mediterranean and South China Sea (AIMS)"
STP,São Tomé & Príncipe,"Atlantic, Indian Ocean, Mediterranean and South China Sea (AIMS)"
SYC,Seychelles,"Atlantic, Indian Ocean, Mediterranean and South China Sea (AIMS)"
SGP,Singapore,"Atlantic, Indian Ocean, Mediterranean and South China Sea (AIMS)"
ATG,Antigua & Barbuda,Caribbean
BHS,Bahamas,Caribbean
BRB,Barbados,Caribbean
BLZ,Belize,Caribbean
CUB,Cuba,Caribbean
DMA,Dominica,Caribbean
DOM,Dominican Republic,Caribbean
GRD,Grenada,Caribbean
GUY,Guyana,Caribbean
HTI,Haiti,Caribbean
JAM,Jamaica,Caribbean
KNA,St. Kitts & Nevis,Caribbean
LCA,St. Lucia,Caribbean
VCT,St. Vincent & Grenadines,Caribbean
SUR,Suriname,Caribbean
TTO,Trinidad & Tobago,Caribbean
FJI,Fiji,Pacific
KIR,Kiribati,Pacific
MHL,Marshall Islands,Pacific
FSM,Micronesia,Pacific
NRU,Nauru,Pacific
PLW,Palau,Pacific
PNG,Papua New Guinea,Pacific
WSM,Samoa,Pacific
SLB,Solomon Islands,Pacific
TLS,Timor-Leste,Pacific
TON,Tonga,Pacific
TUV,Tuvalu,Pacific
VUT,Vanuatu,Pacific
